time_s,mean_weighted_ratio,std_weighted_ratio,mean_strategy_entropy,std_strategy_entropy
0.25,1.25,0.0,1.3862943611198906,0.0
50.25,1.2506501846717517,0.0013003693435035047,1.3858540978553449,0.0008805265290912523
100.25,1.2922618256983414,0.031402131226464736,1.361454357026453,0.012301625771402007
150.25,1.255899775989569,0.053446585506535076,1.2656031201440927,0.03913589681810812
200.25,1.2509938904613538,0.05111397193068859,1.2622893255432897,0.037383428461129485
250.25,1.2397501358162775,0.0600507655765679,1.2445830536064069,0.032964376871307065
300.25,1.241459140986717,0.06453167923869445,1.220569137585453,0.05014351746974239
350.25,1.2506926307389281,0.0721512981121678,1.197357816696352,0.039524323667696565
400.25,1.2502248997107819,0.08102547813092385,1.191019535562934,0.038851179786186955
450.25,1.2397460362495873,0.08466228121145408,1.1895679851151346,0.03948027756181022
500.25,1.2363755430418764,0.08540335754708721,1.1931779908547657,0.0310364649143087
550.25,1.2415602680139823,0.10036881711615697,1.172575483053234,0.021765522458777352
600.25,1.2354615522657708,0.10734298388700386,1.157118314910469,0.009964502000198116
650.25,1.2293903263714174,0.12096413656307194,1.1379733377596026,0.021770647162183625
700.25,1.2056195941534364,0.08853227165443572,1.1353617156008253,0.027172947029791256
750.25,1.2019038319375805,0.07769727074537817,1.1373365577045456,0.025918743954816508
800.25,1.2116163553211976,0.08060239672513633,1.1246438607935427,0.022645468128949624
850.25,1.2051022181370106,0.07942213615722196,1.0961195929600838,0.04431146825161828
900.25,1.2047168597934728,0.07601445875869442,1.0859679505203863,0.043664042212993616
950.25,1.2042005086529493,0.07581720472273785,1.0732891359941,0.04591924553733453
1000.25,1.220831831385823,0.09450414295310826,1.0705890744729654,0.04569093717036886
1050.25,1.2165113323051613,0.08777254120109415,1.0641678422472445,0.04836092157741312
1100.25,1.2107952842181515,0.08424525841161552,1.0574069549040082,0.048527757129724035
1150.25,1.2046847624290025,0.08557067131079579,1.057255132967488,0.05084591315209878
1200.25,1.198150136907179,0.07729745910648632,1.0379535565892586,0.050902412150572625
1250.25,1.203090769010424,0.0697638279081324,1.025873466675386,0.054300913421907376
1300.25,1.206150737609255,0.05495589859550106,1.0126439330716308,0.047838169854615045
1350.25,1.1995292027829543,0.052780871786648205,1.003548226477246,0.04656553516302042
1400.25,1.1981796751932274,0.05855342001677345,1.0016675056192208,0.047282055092821025
1450.25,1.1874400816950967,0.05001922487486336,1.0093183419366227,0.04313888279057511
1500.0,1.1917120852354721,0.061491152879122185,1.0110337153283662,0.049225715133292734
